# columns 1 to 3: |t|_min, |t|_max, |t|_repr
# columns 4 to 6: dsigma/dt in mb/GeV^2, value, statistical unc., t-dependent systematic unc.
# t-independent uncertainty (normalisation): 6 %
0.3625		0.3825		0.37190		0.6565		0.0277		0.0331
0.3825		0.4025		0.39188		0.4536		0.0183		0.0238
0.4025		0.4225		0.41185		0.3133		0.0140		0.0168
0.4225		0.4425		0.43184		0.2075		0.0091		0.0116
0.4425		0.4625		0.45185		0.1270		0.0062		0.0073
0.4625		0.4825		0.47188		0.0952		0.0056		0.0056
0.4825		0.5025		0.49189		0.0718		0.0054		0.0042
0.5025		0.5225		0.51186		0.0413		0.0044		0.0024
0.5225		0.5425		0.53181		0.0319		0.0041		0.0020
0.5425		0.5625		0.55180		0.0209		0.0033		0.0013
0.5625		0.5825		0.57190		0.0159		0.0029		0.0009
0.5825		0.6025		0.59213		0.0098		0.0021		0.0004
0.6025		0.6225		0.61239		0.0085		0.0019		0.0004
0.6225		0.6425		0.63295		0.0092		0.0017		0.0004
0.6425		0.6625		0.65298		0.0131		0.0031		0.0008
0.6625		0.6825		0.67266		0.0171		0.0047		0.0008
0.6825		0.7225		0.70214		0.0148		0.0027		0.0008
0.7225		0.7625		0.74119		0.0122		0.0030		0.0008
