# columns 1 to 3: |t|_min, |t|_max, |t|_repr
# columns 4 to 6: dsigma/dt in mb/GeV^2, value, statistical unc., t-dependent systematic unc.
# t-independent uncertainty (normalisation): 6 %
0.0700		0.0750		0.07246		113.88		2.960		1.455
0.0750		0.0800		0.07746		101.14		2.181		1.319
0.0800		0.0850		0.08246		88.78		1.752		1.181
0.0850		0.0900		0.08746		83.25		1.600		1.130
0.0900		0.0950		0.09246		79.25		1.542		1.097
0.0950		0.1000		0.09746		69.81		1.326		0.986
0.1000		0.1050		0.10246		64.27		1.260		0.926
0.1050		0.1100		0.10746		56.75		1.133		0.833
0.1100		0.1150		0.11246		54.96		1.085		0.822
0.1150		0.1200		0.11746		49.43		1.002		0.754
0.1200		0.1250		0.12246		46.41		1.135		0.721
0.1250		0.1300		0.12746		41.59		0.904		0.658
0.1300		0.1350		0.13246		39.28		0.853		0.633
0.1350		0.1400		0.13746		34.87		0.782		0.572
0.1400		0.1450		0.14246		33.42		0.775		0.558
0.1450		0.1500		0.14746		30.92		0.746		0.526
0.1500		0.1550		0.15246		26.78		0.666		0.463
0.1550		0.1600		0.15746		25.73		0.645		0.453
0.1600		0.1650		0.16246		23.32		0.602		0.417
0.1650		0.1700		0.16746		20.63		0.573		0.376
0.1700		0.1750		0.17246		19.84		0.564		0.367
0.1750		0.1800		0.17746		18.14		0.520		0.341
0.1800		0.1850		0.18246		16.68		0.493		0.319
0.1850		0.1900		0.18746		15.61		0.490		0.303
0.1900		0.1950		0.19246		13.99		0.459		0.276
0.1950		0.2000		0.19746		12.55		0.426		0.251
0.2000		0.2050		0.20246		11.21		0.423		0.228
0.2050		0.2100		0.20746		11.56		0.542		0.239
0.2100		0.2150		0.21246		9.59		0.368		0.201
0.2150		0.2200		0.21746		8.95		0.358		0.190
0.2200		0.2250		0.22246		8.34		0.340		0.180
0.2250		0.2300		0.22746		7.47		0.307		0.164
0.2300		0.2350		0.23246		7.35		0.322		0.163
0.2350		0.2400		0.23746		6.72		0.307		0.151
0.2400		0.2450		0.24246		6.28		0.291		0.143
0.2450		0.2500		0.24746		5.58		0.269		0.129
0.2500		0.2750		0.26161		4.08		0.103		0.098
0.2750		0.3000		0.28661		2.87		0.089		0.074
0.3000		0.3250		0.31161		1.66		0.064		0.045
0.3250		0.3500		0.33661		1.15		0.056		0.033
0.3500		0.3750		0.36161		0.82		0.044		0.025
0.3750		0.4000		0.38661		0.47		0.036		0.015
0.4000		0.4250		0.41161		0.34		0.045		0.012
0.4250		0.4500		0.43661		0.19		0.024		0.007
0.4500		0.4750		0.46161		0.13		0.018		0.005
